"dateTime","countts"
2016081006,0
2016081007,1
2016081008,0
2016081009,1
2016081010,0
2016081011,1
2016081012,5
2016081013,3
2016081014,5
2016081015,9
2016081016,4
2016081017,3
2016081018,8
2016081019,2
2016081020,3
2016081021,2
2016081022,1
2016081023,7
2016081112,2
2016081113,22
2016081114,18
2016081115,8
2016081116,8
2016081117,9
2016081118,5
2016081119,2
2016081120,17
2016081121,20
2016081122,14
2016081123,27
2016081200,47
2016081201,39
2016081202,14
2016081203,10
2016081204,6
2016081205,3
2016081212,14
2016081213,4
2016081214,5
2016081215,6
2016081216,6
2016081217,8
2016081218,4
2016081219,3
2016081220,18
2016081221,47
2016081222,46
2016081223,36
2016081300,11
2016081301,9
2016081302,2
2016081303,4
2016081304,1
2016081305,0
2016081618,5
2016081619,6
2016081620,3
2016081621,4
2016081622,3
2016081623,5
2016081700,6
2016081701,11
2016081702,3
2016081703,3
2016081704,2
2016081705,5
2016081706,5
2016081707,1
2016081708,2
2016081709,11
2016081710,4
2016081711,4
2017061112,3
2017061113,1
2017061114,0
2017061115,2
2017061116,1
2017061117,2
2017061118,1
2017061119,5
2017061120,8
2017061121,3
2017061122,5
2017061123,3
2017061200,5
2017061201,2
2017061202,2
2017061203,0
2017061204,1
2017061205,2
2017061912,2
2017061913,6
2017061914,5
2017061915,3
2017061916,1
2017061917,4
2017061918,3
2017061919,5
2017061920,10
2017061921,32
2017061922,15
2017061923,12
2017062000,10
2017062001,4
2017062002,4
2017062003,4
2017062004,4
2017062005,0
2017062712,4
2017062713,2
2017062714,3
2017062715,2
2017062716,4
2017062717,3
2017062718,4
2017062719,5
2017062720,10
2017062721,5
2017062722,17
2017062723,7
2017062800,1
2017062801,1
2017062802,2
2017062803,1
2017062804,2
2017062805,0
2017063012,3
2017063013,2
2017063014,2
2017063015,2
2017063016,1
2017063017,4
2017063018,0
2017063019,2
2017063020,2
2017063021,13
2017063022,46
2017063023,28
2017070100,12
2017070101,7
2017070102,4
2017070103,5
2017070104,2
2017070105,2
2017071312,3
2017071313,7
2017071314,8
2017071315,3
2017071316,2
2017071317,6
2017071318,10
2017071319,53
2017071320,20
2017071321,18
2017071322,19
2017071323,11
2017071400,10
2017071401,5
2017071402,2
2017071403,0
2017071404,0
2017071405,4
2017071912,3
2017071913,2
2017071914,4
2017071915,5
2017071916,3
2017071917,5
2017071918,0
2017071919,1
2017071920,3
2017071921,4
2017071922,9
2017071923,2
2017072000,6
2017072001,3
2017072002,2
2017072003,0
2017072004,2
2017072005,6
2017072006,1
2017072007,1
2017072008,0
2017072009,1
2017072010,3
2017072011,2
2017072012,0
2017072013,3
2017072014,2
2017072015,2
2017072016,1
2017072017,5
2017072018,0
2017072019,0
2017072020,3
2017072021,5
2017072022,3
2017072023,9
2018050312,2
2018050313,2
2018050314,3
